method,dataset,sequence,frames,MPE_m,MedPE_m,MOE_deg,MedOE_deg,recall@10m,recall@9m,recall@8m,recall@7m,recall@6m,recall@5m,recall@4m,recall@3m,recall@2m,recall@1m
RALoc,NCLT,2012-02-19,26543,1.61,1.16,4.88,2.34,99.4,99.26,99.08,98.79,98.26,97.28,95.21,90.85,80.5,40.0
RALoc,NCLT,2012-03-31,26205,1.59,1.22,4.72,2.47,99.53,99.42,99.26,98.96,98.48,97.54,95.47,90.37,79.17,37.7
RALoc,NCLT,2012-05-26,26240,6.38,1.29,6.26,2.73,97.94,97.62,97.27,96.73,95.87,94.5,91.75,86.58,74.2,34.07
LightLoc,Oxford,15-13-06-37,36099,2.33,2.14,1.2,0.98,99.56,99.45,99.32,99.17,98.49,97.11,93.94,79.74,43.03,10.49
LightLoc,Oxford,17-13-26-39,42768,3.12,2.76,1.27,1.01,99.77,99.68,99.37,98.34,95.28,89.29,82.54,58.69,24.39,2.12
LightLoc,Oxford,17-14-03-00,43695,3.01,3.05,1.24,1.03,99.91,99.88,99.78,99.62,98.16,93.48,79.21,48.45,26.84,4.44
LightLoc,Oxford,18-14-14-42,37099,2.06,1.61,1.2,0.97,99.93,99.91,99.74,99.1,98.17,96.23,91.51,85.53,64.61,22.22
LightLoc,QEOxford,15-13-06-37,36099,0.83,0.58,1.12,0.92,99.74,99.62,99.52,99.42,99.27,99.06,98.5,97.67,93.95,80.29
LightLoc,QEOxford,17-13-26-39,42768,0.77,0.59,1.07,0.84,99.87,99.82,99.72,99.64,99.56,99.42,99.23,98.85,97.22,81.57
LightLoc,QEOxford,17-14-03-00,43695,0.73,0.6,1.11,0.93,99.98,99.96,99.95,99.92,99.86,99.78,99.63,99.32,97.65,80.93
LightLoc,QEOxford,18-14-14-42,37099,0.82,0.6,1.15,0.99,99.96,99.95,99.95,99.93,99.9,99.85,99.67,98.84,96.16,80.61
LightLoc,NCLT,2012-02-12,25536,1.04,0.56,2.91,2.0,99.44,99.09,98.65,98.4,98.19,97.91,97.43,96.37,93.26,77.59
LightLoc,NCLT,2012-02-19,26533,0.93,0.52,2.64,1.85,98.89,98.79,98.72,98.66,98.53,98.29,97.88,97.0,94.32,79.83
LightLoc,NCLT,2012-03-31,26195,0.86,0.56,2.78,1.95,99.78,99.74,99.66,99.58,99.39,99.06,98.38,96.99,93.73,78.01
